ingredient	version	count
tequila	The Cocktail DB	1.5
gjuice	The Cocktail DB	3
limejuice	The Cocktail DB	0
gpjucie	The Cocktail DB	0
tequila	Mixology Recipes	2
gjuice	Mixology Recipes	0
limejuice	Mixology Recipes	0.667
gpjucie	Mixology Recipes	4
tequila	Awesome Drinks	2
gjuice	Awesome Drinks	0
limejuice	Awesome Drinks	0.5
gpjucie	Awesome Drinks	6
tequila	Intl. Bartenders Association	1.75
gjuice	Intl. Bartenders Association	0
limejuice	Intl. Bartenders Association	0.17
gpjucie	Intl. Bartenders Association	3.4
tequila	Kindred Cocktails	2
gjuice	Kindred Cocktails	0
limejuice	Kindred Cocktails	0
gpjucie	Kindred Cocktails	6